latitude,longitude,altitude,speed,heading,battery_level,drone_id,flight_time,signal_strength,temperature,humidity,pressure,wind_speed,wind_direction,gps_accuracy,battery_status,charging_action,battery_bin,flight_time_bin,risk_score,operation_risk,is_high_risk,maintenance_action,recommendation,ext_drone_id,application,drone_size,drone_model,manufacturer,propeller_count,max_carry_weight_kg,actual_carry_weight_kg,payload_type,payload_description,supp_altitude_m,supp_flight_duration_min,distance_flown_km,operator_id,flight_date,supp_battery_remaining_pct,supp_gps_accuracy_m,supp_wind_speed_mps,obstacles_encountered,flight_status,regulatory_approval_id,operation_notes,payload_load_ratio,combined_maintenance_priority,combined_decision_reason
,,250.0,50.0,,60.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Yêu Cầu Bảo Trì,,,,,
,,250.0,50.0,,60.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Yêu Cầu Bảo Trì,,,,,
,,250.0,50.0,,60.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Yêu Cầu Bảo Trì,,,,,
,,250.0,50.0,,60.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Yêu Cầu Bảo Trì,,,,,
,,250.0,50.0,,60.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Yêu Cầu Bảo Trì,,,,,
,,250.0,50.0,,60.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Yêu Cầu Bảo Trì,,,,,
,,250.0,50.0,,60.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Yêu Cầu Bảo Trì,,,,,
,,250.0,50.0,,60.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,250.0,50.0,,63.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,250.0,50.0,,60.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,250.0,50.0,,60.0,Drone_Custom_001,30.0,70.0,25.0,55.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,250.0,50.0,,60.0,Dronengu123,30.0,70.0,25.0,55.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
